1hgg,1ha0,1690.0
1hgg,4eef,607.5
1hgg,4cqp,573.0
1hgg,4cqq,573.0
1hgg,4cqr,573.0
1hgg,4cqs,576.0
1hgg,4cqt,573.0
1hgg,4cqu,576.0
1hgg,4cqv,580.0
1hgg,4cqw,580.0
1hgg,4cqx,580.0
1hgg,4cqy,580.0
1hgg,4cqz,576.0
1hgg,4lvh,287.5
1hgg,4jtv,553.5
1hgg,4f23,437.5
1hgg,4f3z,560.0
1hgg,4hmg,1684.0
1hgg,4cyz,664.0
1hgg,3fku,584.0
1hgg,3mlh,275.0
1hgg,4cyv,664.0
1hgg,4cyw,664.0
1hgg,3htq,587.5
1hgg,3htp,587.5
1hgg,2fk0,583.0
1hgg,4m4y,577.5
1hgg,4kvn,1374.0
1hgg,4bsb,597.5
1hgg,3hmg,1684.0
1hgg,4mhi,590.0
1hgg,3hto,587.5
1hgg,4mhj,590.5
1hgg,4fqy,1682.0
1hgg,4n64,602.5
1hgg,4d00,663.0
1hgg,2viu,1684.0
1hgg,4fqr,1682.0
1hgg,4hlz,548.0
1hgg,4fnk,1682.0
1hgg,4fqi,583.0
1hgg,2yp3,1404.0
1hgg,4o5i,1367.0
1hgg,4n60,602.5
1hgg,3znk,577.0
1hgg,5hmg,1690.0
1hgg,3znm,577.0
1hgg,3znl,577.0
1hgg,4n61,602.5
1hgg,4ln8,602.5
1hgg,1rvz,561.5
1hgg,4ln6,602.5
1hgg,4lxv,594.5
1hgg,4kps,474.5
1hgg,2yp2,1404.0
1hgg,4wa1,1577.0
1hgg,4wa2,1577.0
1hgg,3s11,573.0
1hgg,3s13,450.5
1hgg,3s12,555.5
1hgg,4hf5,548.0
1hgg,1jsm,573.0
1hgg,1jsn,573.0
1hgg,1jso,573.0
1hgg,1jsh,538.5
1hgg,1jsi,538.5
1hgg,1jsd,538.5
1hgg,3zpb,573.0
1hgg,3qqo,548.0
1hgg,3sm5,583.5
1hgg,3sdy,1682.0
1hgg,3qqi,258.5
1hgg,3qqe,548.0
1hgg,4h32,452.5
1hgg,3qqb,548.0
1hgg,4jtx,577.5
1hgg,4hg4,557.0
1hgg,1rvx,561.5
1hgg,4uo9,1459.0
1hgg,4eda,560.5
1hgg,1mql,1621.0
1hgg,4kpq,474.5
1hgg,4edb,574.5
1hgg,3lzg,570.5
1hgg,3lzf,600.5
1hgg,1rvt,611.5
1hgg,4n5k,602.5
1hgg,1mqm,1621.0
1hgg,4py8,607.5
1hgg,4hfu,556.0
1hgg,4bgw,577.0
1hgg,4gxx,617.5
1hgg,4bgz,543.5
1hgg,4bgy,577.0
1hgg,4bgx,577.0
1hgg,4f15,277.0
1hgg,1qfu,1690.0
1hgg,3zp6,573.0
1hgg,3zp3,572.0
1hgg,3zp2,572.0
1hgg,3zp1,576.0
1hgg,3zp0,576.0
1hgg,4uo8,1455.0
1hgg,4unz,1494.0
1hgg,4uo5,1455.0
1hgg,4uny,1494.0
1hgg,2wrg,590.0
1hgg,2wrf,543.0
1hgg,2wre,531.5
1hgg,2wrd,552.5
1hgg,2wrc,541.0
1hgg,2wrb,541.0
1hgg,4n62,602.5
1hgg,4n63,602.5
1hgg,4cr0,576.0
1hgg,1eo8,1690.0
1hgg,3htt,587.5
1hgg,2wrh,589.0
1hgg,4cz0,664.0
1hgg,3m5g,606.5
1hgg,2yp5,1404.0
1hgg,4ln4,593.5
1hgg,1ru7,561.5
1hgg,1ti8,611.5
1hgg,1rd8,608.5
1hgg,4n5j,602.5
1hgg,4ju0,569.5
1hgg,4dj6,612.5
1hgg,4dj7,612.5
1hgg,4uo4,1455.0
1hgg,4uo1,1478.0
1hgg,4o58,1583.0
1hgg,4bsf,602.5
1hgg,4dj8,612.5
1hgg,4bsd,597.5
1hgg,4bsc,597.5
1hgg,2yp9,1399.0
1hgg,4bsa,597.5
1hgg,2wr7,520.0
1hgg,2wr5,554.5
1hgg,2wr4,534.5
1hgg,4i78,444.5
1hgg,2wr2,560.0
1hgg,2wr1,560.0
1hgg,2wr0,560.0
1hgg,4k65,562.0
1hgg,4k64,558.0
1hgg,4k67,562.0
1hgg,4k66,562.0
1hgg,4nm8,1682.0
1hgg,4k63,558.0
1hgg,4k62,558.0
1hgg,4bsg,610.5
1hgg,1mqn,1621.0
1hgg,3ku5,558.0
1hgg,3ku6,554.0
1hgg,4bse,602.5
1hgg,3ku3,548.0
1hgg,4fp8,1399.0
1hgg,4jug,607.5
1hgg,4fqv,604.5
1hgg,4juh,607.5
1hgg,4juk,551.0
1hgg,4juj,607.5
1hgg,4jum,556.0
1hgg,4jul,544.0
1hgg,4o5n,1367.0
1hgg,4jun,554.0
1hgg,1ken,1690.0
1hgg,4ln3,593.5
1hgg,4gxu,607.5
1hgg,4bh2,577.0
1hgg,4bh3,577.0
1hgg,4bh0,543.5
1hgg,4bh1,543.5
1hgg,2yp7,1399.0
1hgg,4bh4,577.0
1hgg,2yp4,1404.0
1hgg,4uo0,1478.0
1hgg,3m6s,585.5
1hgg,4uo2,1478.0
1hgg,4uo3,1482.0
1hgg,4m5z,275.5
1hgg,3vun,1683.0
1hgg,4uo6,1455.0
1hgg,4uo7,1455.0
1hgg,4lkg,586.5
1hgg,4n5y,590.0
1hgg,4n5z,584.0
1hgg,4bsh,610.5
1hgg,4lki,597.5
1hgg,4lkh,586.5
1hgg,4lkk,597.5
1hgg,4kwm,560.0
1hgg,1hgf,1690.0
1hgg,2ibx,577.0
1hgg,1hgd,1682.0
1hgg,1hge,1682.0
1hgg,4fiu,437.5
1hgg,4lcx,586.5
1hgg,1hgj,1690.0
1hgg,1hgh,1690.0
1hgg,1hgi,1690.0
1hgg,3eyk,1005.0
1hgg,4kon,603.5
1hgg,3eyj,1005.0
1hgg,3ztj,1690.0
1hgg,4lkj,597.5
1hgg,2yp8,1399.0
1hgg,3m5j,606.5
1hgg,4kw1,570.0
1hgg,3uyw,272.5
1hgg,3ubq,561.5
1hgg,3uyx,276.0
1hgg,3ube,561.5
1hgg,2ypg,1690.0
1hgg,3eym,1690.0
1hgg,3m5i,606.5
1hgg,3m5h,606.5
1hgg,3ubn,561.5
1hgg,4uoa,1458.0
1hgg,4bsi,610.5
1hgg,3ubj,561.5
1hgg,4kth,557.0
1hgg,3gbm,583.0
1hgg,3gbn,607.5
1hgg,4gms,1583.0
1hgg,3r2x,600.5
1hgg,2hmg,1683.0
1hgg,4kdo,577.0
1hgg,4kdn,577.0
1hgg,4kdm,577.0
1hgg,4unx,1494.0
1hgg,4kdq,562.0
1hgg,3al4,553.5
1ha0,4eef,607.5
1ha0,4cqp,573.0
1ha0,4cqq,573.0
1ha0,4cqr,573.0
1ha0,4cqs,576.0
1ha0,4cqt,573.0
1ha0,4cqu,576.0
1ha0,4cqv,580.0
1ha0,4cqw,580.0
1ha0,4cqx,580.0
1ha0,4cqy,580.0
1ha0,4cqz,576.0
1ha0,4lvh,287.5
1ha0,4jtv,553.5
1ha0,4f23,437.5
1ha0,4f3z,560.0
1ha0,4hmg,1684.0
1ha0,4cyz,664.0
1ha0,3fku,584.0
1ha0,3mlh,275.0
1ha0,4cyv,664.0
1ha0,4cyw,664.0
1ha0,3htq,587.5
1ha0,3htp,587.5
1ha0,2fk0,583.0
1ha0,4m4y,577.5
1ha0,4kvn,1374.0
1ha0,4bsb,597.5
1ha0,3hmg,1684.0
1ha0,4mhi,590.0
1ha0,3hto,587.5
1ha0,4mhj,590.5
1ha0,4fqy,1682.0
1ha0,4n64,602.5
1ha0,4d00,663.0
1ha0,2viu,1684.0
1ha0,4fqr,1682.0
1ha0,4hlz,548.0
1ha0,4fnk,1682.0
1ha0,4fqi,583.0
1ha0,2yp3,1404.0
1ha0,4o5i,1367.0
1ha0,4n60,602.5
1ha0,3znk,577.0
1ha0,5hmg,1690.0
1ha0,3znm,577.0
1ha0,3znl,577.0
1ha0,4n61,602.5
1ha0,4ln8,602.5
1ha0,1rvz,561.5
1ha0,4ln6,602.5
1ha0,4lxv,594.5
1ha0,4kps,474.5
1ha0,2yp2,1404.0
1ha0,4wa1,1577.0
1ha0,4wa2,1577.0
1ha0,3s11,573.0
1ha0,3s13,450.5
1ha0,3s12,555.5
1ha0,4hf5,548.0
1ha0,1jsm,573.0
1ha0,1jsn,573.0
1ha0,1jso,573.0
1ha0,1jsh,538.5
1ha0,1jsi,538.5
1ha0,1jsd,538.5
1ha0,3zpb,573.0
1ha0,3qqo,548.0
1ha0,3sm5,583.5
1ha0,3sdy,1682.0
1ha0,3qqi,258.5
1ha0,3qqe,548.0
1ha0,4h32,452.5
1ha0,3qqb,548.0
1ha0,4jtx,577.5
1ha0,4hg4,557.0
1ha0,1rvx,561.5
1ha0,4uo9,1459.0
1ha0,4eda,560.5
1ha0,1mql,1621.0
1ha0,4kpq,474.5
1ha0,4edb,574.5
1ha0,3lzg,570.5
1ha0,3lzf,600.5
1ha0,1rvt,611.5
1ha0,4n5k,602.5
1ha0,1mqm,1621.0
1ha0,4py8,607.5
1ha0,4hfu,556.0
1ha0,4bgw,577.0
1ha0,4gxx,617.5
1ha0,4bgz,543.5
1ha0,4bgy,577.0
1ha0,4bgx,577.0
1ha0,4f15,277.0
1ha0,1qfu,1690.0
1ha0,3zp6,573.0
1ha0,3zp3,572.0
1ha0,3zp2,572.0
1ha0,3zp1,576.0
1ha0,3zp0,576.0
1ha0,4uo8,1455.0
1ha0,4unz,1494.0
1ha0,4uo5,1455.0
1ha0,4uny,1494.0
1ha0,2wrg,590.0
1ha0,2wrf,543.0
1ha0,2wre,531.5
1ha0,2wrd,552.5
1ha0,2wrc,541.0
1ha0,2wrb,541.0
1ha0,4n62,602.5
1ha0,4n63,602.5
1ha0,4cr0,576.0
1ha0,1eo8,1690.0
1ha0,3htt,587.5
1ha0,2wrh,589.0
1ha0,4cz0,664.0
1ha0,3m5g,606.5
1ha0,2yp5,1404.0
1ha0,4ln4,593.5
1ha0,1ru7,561.5
1ha0,1ti8,611.5
1ha0,1rd8,608.5
1ha0,4n5j,602.5
1ha0,4ju0,569.5
1ha0,4dj6,612.5
1ha0,4dj7,612.5
1ha0,4uo4,1455.0
1ha0,4uo1,1478.0
1ha0,4o58,1583.0
1ha0,4bsf,602.5
1ha0,4dj8,612.5
1ha0,4bsd,597.5
1ha0,4bsc,597.5
1ha0,2yp9,1399.0
1ha0,4bsa,597.5
1ha0,2wr7,520.0
1ha0,2wr5,554.5
1ha0,2wr4,534.5
1ha0,4i78,444.5
1ha0,2wr2,560.0
1ha0,2wr1,560.0
1ha0,2wr0,560.0
1ha0,4k65,562.0
1ha0,4k64,558.0
1ha0,4k67,562.0
1ha0,4k66,562.0
1ha0,4nm8,1682.0
1ha0,4k63,558.0
1ha0,4k62,558.0
1ha0,4bsg,610.5
1ha0,1mqn,1621.0
