query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
ABB87844,ABB87844,7.9e-07
ABB87844,AHN97094,1.7e-06
ABB87844,AGG27863,1.9e-06
ABB87844,AGG27706,1.9e-06
ABB87844,AGG27899,2e-06
ABB87844,AGL60617,2.1e-06
ABB87844,AGG27718,2.1e-06
ABB87844,AGL60775,2.2e-06
ABB87844,AEK49568,2.4e-06
ABB87844,AGL60823,2.5e-06
ABB87844,ACF74233,2.5e-06
ABB87844,AHZ43337,2.6e-06
ABB87844,AGL58994,2.7e-06
ABB87844,ACF20226,3e-06
ABB87844,AGL60763,3e-06
ABB87844,AEM75431,3.9e-06
ABB87844,AHM24205,2.2e-05
ABB87844,AGG53498,0.071
ABB87844,AGG53443,0.074
ABB87844,AHK10800,0.094
ABB87844,BAM63158,0.097
ABB87844,AAG10670,0.097
ABB87844,ABS89365,0.1
ABB87844,AHZ38875,0.1
ABB87844,AAC54377,0.11
ABB87844,ACZ48608,0.11
ABB87844,ACZ58384,0.12
ABB87844,AAG10650,0.12
ABB87844,AHN96602,0.12
ABB87844,ADI34061,0.12
ABB87844,ACL80025,0.13
ABB87844,ABI94581,0.13
ABB87844,AGG83064,0.13
ABB87844,AAR02640,0.13
ABB87844,AGL52805,0.13
ABB87844,ABI85011,0.13
ABB87844,AGL57025,0.14
ABB87844,ABR37440,0.14
ABB87844,AHN96530,0.14
ABB87844,ADV02479,0.14
ABB87844,ADI34060,0.15
ABB87844,AGL57850,0.16
ABB87844,ABI84602,0.16
ABB87844,AHZ42377,0.17
ABB87844,AET77666,0.17
ABB87844,AAD26938,0.17
ABB87844,ACZ48594,0.17
ABB87844,AFQ55689,0.18
ABB87844,ABI85000,0.19
ABB87844,AAC54380,0.19
ABB87844,CAA78263,0.24
ACF20226,ACF20226,4.2e-07
ACF20226,ABB87844,1.6e-06
ACF20226,AHN97094,1.6e-06
ACF20226,AGG27863,1.7e-06
ACF20226,AGG27706,1.7e-06
ACF20226,AGG27899,1.8e-06
ACF20226,AGG27718,1.9e-06
ACF20226,AGL60617,2e-06
ACF20226,AGL60775,2e-06
ACF20226,AEK49568,2.1e-06
ACF20226,AGL60823,2.3e-06
ACF20226,ACF74233,2.3e-06
ACF20226,AHZ43337,2.3e-06
