H7	H7	0.941	0.900	0.353	0.980	0.983	0.013	630
H1N2	H7	1.885	1.890	0.035	0.891	0.892	0.007	7128
H1N1v	H7	3.083	3.090	0.132	0.845	0.845	0.008	2772
H3N2	H7	1.748	1.750	0.031	0.923	0.924	0.005	9360
H10	H7	1.384	1.360	0.229	0.961	0.963	0.012	648
H1s	H7	1.878	1.880	0.043	0.890	0.891	0.007	9576
H3Nx	H7	1.747	1.745	0.032	0.923	0.924	0.005	1404
H5Nx	H7	2.831	2.810	0.283	0.854	0.855	0.021	4212
H1N1_42	H7	2.143	2.140	0.025	0.868	0.870	0.006	1548
H7	H9	2.603	2.590	0.210	0.857	0.859	0.017	2232
H2Nx	H7	2.783	2.750	0.204	0.861	0.862	0.017	1620
H5Nx_51	H7	2.071	2.070	0.030	0.878	0.879	0.006	1764
H1N2	H1N2	0.496	0.500	0.144	0.994	0.994	0.003	19503
H1N1v	H1N2	0.880	0.900	0.100	0.982	0.982	0.003	15246
H1N2	H3N2	1.941	1.940	0.043	0.889	0.889	0.003	51480
H10	H1N2	1.859	1.860	0.036	0.898	0.898	0.002	3564
H1N2	H1s	0.504	0.510	0.148	0.993	0.994	0.004	52668
H1N2	H3Nx	1.938	1.940	0.043	0.889	0.889	0.003	7722
H1N2	H5Nx	0.880	0.860	0.091	0.974	0.974	0.003	23166
H1N1_42	H1N2	0.876	0.890	0.100	0.982	0.982	0.003	8514
H1N2	H9	1.525	1.530	0.061	0.913	0.913	0.002	12276
H1N2	H2Nx	1.061	1.070	0.079	0.963	0.962	0.003	8910
H1N2	H5Nx_51	0.884	0.870	0.092	0.973	0.974	0.003	9702
H1N1v	H1N1v	0.890	0.870	0.251	0.984	0.985	0.009	2926
H1N1v	H3N2	2.180	2.180	0.035	0.903	0.903	0.002	20020
H10	H1N1v	3.123	3.140	0.119	0.834	0.834	0.009	1386
H1N1v	H1s	0.896	0.900	0.097	0.981	0.982	0.004	20482
H1N1v	H3Nx	2.178	2.180	0.036	0.903	0.903	0.002	3003
H1N1v	H5Nx	2.411	2.420	0.152	0.895	0.895	0.011	9009
H1N1_42	H1N1v	0.164	0.160	0.032	0.999	0.999	0.001	3311
H1N1v	H9	2.902	2.900	0.140	0.844	0.844	0.010	4774
H1N1v	H2Nx	2.179	2.180	0.132	0.909	0.909	0.009	3465
H1N1v	H5Nx_51	1.113	1.110	0.014	0.974	0.974	0.001	3773
H3N2	H3N2	0.222	0.210	0.065	0.999	0.999	0.001	33670
H10	H3N2	1.946	1.950	0.044	0.912	0.912	0.003	4680
H1s	H3N2	1.933	1.930	0.045	0.888	0.889	0.003	69160
H3N2	H3Nx	0.219	0.210	0.065	0.999	0.999	0.001	10140
H3N2	H5Nx	2.324	2.320	0.058	0.894	0.894	0.004	30420
H1N1_42	H3N2	2.126	2.120	0.023	0.876	0.876	0.002	11180
H3N2	H9	2.125	2.120	0.087	0.889	0.889	0.006	16120
H2Nx	H3N2	2.451	2.450	0.059	0.885	0.885	0.004	11700
H3N2	H5Nx_51	2.079	2.080	0.026	0.884	0.883	0.002	12740
H10	H10	0.942	0.950	0.192	0.980	0.981	0.007	153
