id,chain,subtype,host,location,year,continent
4cqv,A,H5N1,avian,Turkey,2005,Asia
ACI41126,A,H5N1,avian,NakornSawan,2005,Asia
4cqv2,A,H5N1,avian,New York,2005,North America
