p_id,sero
AFG71996,H3N2
ACT33159,H1N1
ACZ81556,H1N1
ABO38384,H1N1
ABD61735,H1N1
AHC69182,H5N1
AGL58957,H3N2
BAN14742,H1N2
AGL09881,H3N2
AAP34322,H1N1
AFG98830,H3N2
AHY95001,H3N2
AHB22963,H1N1
BAN81923,H5N1
ADG59044,H1N1
AHB22843,H1N1
AAA43247,H2N2
AGC73203,H1N2
AHY20736,H5N1
AFU08580,H1N2
BAN14735,H1N2
AHB21027,H1N1
ACZ58384,H7N8
AFU10181,H1N2
ACA28846,H1N1
AGL60763,H10N7
AHY95005,H1N2
AHN03147,H3N2
AHJ57435,H1N1
AGM53498,H3N2
AAR02640,H7N7
AGI52981,H1N1
AFC98271,H1N2
ABW94127,H1N1
AHB23035,H1N1
AFR76311,H1N1
ACF93486,H9N2
GQ249333,H1N1
ADY71438,H1N2
AFG99094,H3N2
ABB03134,H1N2
AFM46643,H1N2
ADC29463,H5N2
AFO83000,H1N2
ADU85891,H1N2
AFM46639,H1N1
ABS00315,H1N1
AAX56590,H3N2
ABO32981,H1N1
ACO07033,H5N1
ABQ97200,H3N2
AHF20480,H5N1
AGF69071,H3N2
ACI45446,H1N1
ACV42073,H3N2
ACA04574,H3N8
AAK70452,H1N1
AHA38263,H3N2
AFJ69901,H5N1
CY075485,H1N1
ABI84450,H2N7
AFU10229,H5N3
AFM46633,H1N2
CAA24272,H1N1
AHC69322,H3N2
AHK10669,H1N1
AFC18325,H9N1
ABY81829,H3N2
AFV77715,H1N1
AHB51328,H1N1
AHB24430,H3N2
AFI44374,H1N2
AEO91855,H1N2
ABG88531,H3N2
AHW46624,H1N1
AHB23071,H1N2
AFM46839,H1N2
ACM51329,H1N1
AHG26717,H1N2
AFI62139,H1N2
ABG80073,H3N2
AET77176,H9N1
AEK50870,H1N1
ADG08308,H1N1
AGQ47740,H1N1
ADC45670,H1N1
ABD95031,H1N1
AEK49568,H10N7
ABE73115,H3N2
AHZ44129,H3N8
ABD79112,H1N1
CY054662,H1N1
ADI34060,H7N3
AAL87867,H1N2
ABB80023,H3N2
AGL57927,H9N5
ABB96520,H3N2
AGL57850,H7N3
AHN01260,H1N2
AHA57155,H1N2
AGG27718,H10N7
ACR49193,H5N1
AGL07472,H1N2
ABF17959,H3N2
AIB06050,H1N2
AFW16001,H1N2
AFJ78364,H1N1
ABY81821,H3N2
BAJ14029,H3N2
AHX38310,H3N2
AEP17277,H1N1
AGZ62396,H1N1
AB558348,H1N1
ACY06623,H1N1
AHG26608,H1N2
AHB23664,H1N1
ACX48061,H5N1
ABD15746,H3N2
ABD60955,H1N1
BAJ06679,H1N1
JN807843,H5N1
JQ065166,H1N1
GQ457487,H1N1
CY119330,H1N1
AHB22615,H3N2
AGY79889,H2N3
AEQ61347,H1N1
AFA51661,H9N2
ACE77938,H3N2
ACM80372,H3N2
AGJ73367,H1N1
AAK70454,H1N1
ADG85225,H1N1
ABF21269,H3N2
ABI20870,H1N1
AGG12643,H1N2
AGG27899,H10N7
AHY95115,H5N2
AIB06070,H3N2
AFJ77891,H3N2
JQ858483,H5N1
AFR60992,H5N1
AFJ13424,H2N1
AGB98777,H3N2
ABS71672,H1N1
ABO38098,H2N2
AGX00864,H5N1
AEP17078,H1N2
AFP83236,H3N2
AHN00657,H3N2
AFM72098,H3N2
AEN68575,H1N2
CAA91080,H1N1
AHZ43337,H10N3
AHB20856,H1N1
AGO00313,H3N2
AEN95123,H9N2
AHG26596,H1N2
ABS50053,H3N2
CCQ71947,H1N1
AEG64762,H1N1
AHF20413,H5N1
ABB51963,H3N2
AGZ61736,H1N1
AEP71333,H5N1
ADR01746,H1N2
AEU05027,H3N2
JF719758,H1N1
ADK26592,H1N2
AFU10169,H1N2
AFI62138,H1N2
ADK56450,H9N2
AFQ34729,H1N1
ABW81532,H1N2
GU596984,H5N1
AGQ88476,H3N2
ADG59055,H5N1
GQ303340,H1N1
AEZ02122,H3N2
AFH76959,H1N1
ADD21467,H1N1
AGO51415,H3N2
ABX10497,H5N1
AFR76227,H1N1
AFJ18989,H5N1
AHB21460,H1N2
CY077110,H5N1
ACD12274,H5N1
ACV90543,H5N2
ACA33732,H1N1
AGG53738,H1N2
AGC13633,H1N2
ABS50795,H9N2
ABJ16565,H5N2
AIA66646,H1N1
ACT21466,H3N2
AGW44014,H3N5
ABJ51739,H5N1
ADG85233,H1N1
AFR75881,H1N1
ABD59849,H1N1
AGI55453,H1N1
AGK72773,H1N1
CAA91081,H1N1
AFP36088,H1N2
AEA29580,H1N1
AFV53205,H2N2
AEA92634,H1N1
AAD05216,H1N2
ACA33752,H1N1
ACM17265,H1N1
AGL60823,H10N7
