AHB21075,A,swine,North Carolina,2006
ABF17959,A,avian,Ontario,2005
AFG99237,A,-,Colorado,1986
AFM46668,A,swine,Mississippi,2011
AAC54378,A,-,tern,1961
AEQ72868,A,avian,Egypt,2011
AHH25326,A,swine,Illinois,2013
ABN51066,A,-,Memphis,1996
AHF20480,A,-,Cambodia,2013
AHZ44225,A,avian,Wisconsin,2012
ADW01407,A,-,Jiangsu,2011
ABU99195,A,avian,West Java,2006
AHZ65737,A,swine,Oklahoma,2014
AHZ65769,A,swine,Iowa,2014
AAC54377,A,-,chicken,1979
AGL06095,A,-,Hawaii,2012
ADG59055,A,avian,Guizhou,2008
ADG59054,A,avian,Liaoning,2007
BAG49742,A,swine,Kyoto,1979
AAL87867,A,swine,North Carolina,2001
AFX65229,A,swine,Nanjing,2011
ABE68927,A,avian,Qinghai,2005
ACI41126,A,avian,Nakornsawan,2005
AHB59452,A,swine,Nebraska,2013
AGB98447,A,swine,Ohio,2009
AGX00864,A,avian,Ningxia,2012
ACT15355,A,-,Egypt,2009
CAA24272,A,-,Puerto Rico,1934
AEX38474,A,-,Wisconsin,2011
ABK34764,A,avian,Shanxi,2006
AFL56810,A,swine,Oklahoma,2011
AFP99689,A,swine,Ohio,2012
AHB22213,A,swine,Saskatchewan,2009
ACD88648,A,avian,North Carolina,2005
AFG72085,A,-,Sichuan,1987
AGF37648,A,-,Chita,2012
AEX63617,A,swine,Jiangsu,2011
ACU13094,A,-,Texas,2009
AEV40049,A,-,Shenzhen,2009
AHZ59311,A,avian,Guangxi,2013
AEF33067,A,swine,North Carolina,2010
AFD32574,A,swine,Indiana,2010
AGG53738,A,swine,Illinois,2013
AHL81845,A,avian,Wisconsin,2011
BAH02110,A,swine,Udon Thani,2004
AFG99248,A,-,Shanghai,1987
CAC18524,A,-,Fiji,1983
ABS00315,A,swine,Henan,2006
ACV49600,A,-,Japan,1957
ADC97015,A,avian,Shandong,2008
AGT18724,A,-,Kenya,2013
