ABP49327,A,-,AA,1945
ABP49481,A,-,Albany,1951
ABP51975,A,-,Hong Kong,2003
ABQ01355,A,-,Albany,1960
ABQ11257,A,avian,Thailand,2005
ABQ42444,A,swine,Guangxi,2006
ABQ57239,A,-,swine,-
ABQ97200,A,-,Hong Kong,1968
ABQ97202,A,swine,Leipzig,1992
ABR37440,A,emu,New South Wales,1997
ABS00315,A,swine,Henan,2006
ABS50053,A,-,Auckland,2001
ABS50795,A,avian,Israel,2005
ABS53363,A,swine,Cloppenburg,2005
ABS53372,A,swine,Bakum,2000
ABS71668,A,-,Thailand,2006
ABS71672,A,-,Thailand,2006
ABS89365,A,-,chicken,1976
ABU80265,A,swine,Tennessee,1978
ABU92710,A,-,Denmark,2004
ABU99094,A,avian,West Java,2006
ABU99104,A,avian,Vietnam,2005
ABU99195,A,avian,West Java,2006
ABV31843,A,avian,Guangxi,2005
ABW21667,A,avian,Huadong,2005
ABW36333,A,swine,Ontario,1981
ABW39883,A,-,Texas,2007
ABW40114,A,-,New York,2007
ABW80976,A,-,New York,2001
ABW81507,A,-,Denmark,2001
ABW81532,A,-,Denmark,2003
ABW91526,A,-,Kentucky,2007
ABW94127,A,avian,Maryland,2002
ABX10497,A,avian,Hebei,2005
ABY40410,A,swine,Saraburi,2005
ABY79833,A,avian,Egypt,2007
ABY81426,A,swine,Iowa,1986
ABY81821,A,swine,Korea,2004
ABY81829,A,avian,Korea,2005
ACA04574,A,avian,Western Australia,1984
ACA28846,A,-,Brisbane,2007
ACA33674,A,-,Delaware,2007
ACA33732,A,-,Texas,2007
ACA33752,A,-,Minnesota,2007
ACA50026,A,avian,Iran,2007
ACA50030,A,avian,Iran,1999
ACB11782,A,-,New Mexico,2008
ACB11812,A,-,Hawaii,2007
ACB36678,A,giant anteater,Tennessee,2007
ACB70647,A,avian,Vietnam,2007
ACD12172,A,avian,Hong Kong,1979
ACD12274,A,avian,Thailand,2006
ACD35865,A,avian,Minnesota,2005
ACD35872,A,avian,North Carolina,2005
ACD56302,A,-,North Carolina,1968
ACD56313,A,-,Korea,1968
ACD56324,A,-,Moscow,1965
ACD85198,A,-,Potsdam,1965
ACD88648,A,avian,North Carolina,2005
ACE77927,A,swine,Korea,2004
ACE77933,A,swine,Korea,2006
ACE77937,A,swine,Korea,2007
ACE77938,A,swine,Korea,2004
ACE77939,A,swine,Korea,2005
ACE77942,A,swine,Korea,2007
ACE77944,A,swine,Korea,2007
ACE77946,A,swine,Korea,2007
ACF20226,A,avian,California,1999
ACF22148,A,-,Yucatan,2003
ACF24987,A,avian,Minnesota,1999
ACF25543,A,avian,Minnesota,2005
ACF25596,A,avian,IA,1992
ACF25627,A,emu,NY,1994
ACF25679,A,avian,Minnesota,1987
ACF36262,A,-,Hong Kong,2000
ACF36396,A,-,Hong Kong,2001
ACF36398,A,-,Hong Kong,2001
ACF36458,A,-,Hong Kong,2005
ACF41834,A,-,Puerto Rico,1934
ACF41900,A,-,New York,2004
ACF41933,A,-,Texas,1991
ACF47409,A,avian,California,2007
ACF47420,A,avian,California,2007
ACF47464,A,avian,California,2007
ACF54389,A,-,Georgia,1967
ACF54565,A,-,Wyoming,2003
ACF74233,A,avian,California,2007
ACF74243,A,avian,California,2007
ACF93481,A,avian,Haryana,2003
ACF93484,A,avian,Gujarat,2004
ACF93486,A,avian,Guangdong,2007
ACH95448,A,avian,Henan,2001
ACH95456,A,avian,Fujian,2002
ACH95660,A,swine,Anhui,2006
ACI06178,A,-,Cambodia,2007
ACI26560,A,-,Siena,1990
ACI26571,A,-,Siena,1990
ACI26593,A,-,Siena,1991
ACI32741,A,-,Baden-Wuerttemberg,2003
ACI41126,A,avian,Nakornsawan,2005
ACI45446,A,-,Cambodia,2007
ACJ26341,A,avian,Hong Kong,2008
ACJ26374,A,avian,Hong Kong,2008
ACJ73766,A,-,Texas,2008
ACK99476,A,-,Siena,1997
ACL79904,A,swine,Minnesota,2007
ACL80025,A,rhea,North Carolina,1993
ACM17265,A,swine,NC,2005
ACM51329,A,-,South Carolina,2008
ACM80372,A,swine,Thailand,2005
ACN33090,A,-,Ohio,2007
ACN39410,A,avian,Anhui,2007
ACN67524,A,swine,Belgium,1998
ACN90987,A,swine,Tainan,2003
ACN90994,A,swine,Pingtung,1999
ACO07033,A,avian,Vietnam,2008
ACO07038,A,avian,Vietnam,2008
ACO07043,A,avian,Vietnam,2008
ACO07051,A,swine,Tainan,2005
ACO95226,A,-,Hong Kong,2005
ACO95270,A,-,Brisbane,2007
ACQ65691,A,-,Taiwan,2007
ACR26715,A,swine,North Carolina,2003
ACR39190,A,swine,Groitzsch,2007
ACR48872,A,-,Indonesia,2005
ACR49193,A,avian,East Java,2006
ACR56228,A,avian,Egypt,2008
ACR81633,A,-,Paris,2009
ACS71656,A,-,Mexico,2009
ACS78026,A,-,New York,2009
ACT15320,A,-,Egypt,2009
ACT15355,A,-,Egypt,2009
ACT20893,A,avian,Tyva,2009
ACT21466,A,-,New York,1998
ACT33159,A,swine,Alberta,2009
ACT67801,A,-,New Hampshire,2009
ACT97067,A,swine,Tianjin,2004
ACU12494,A,-,Siena,1991
ACU13094,A,-,Texas,2009
ACU43765,A,-,Texas,2008
ACU44038,A,-,Kentucky,2009
ACU44361,A,-,Arizona,2009
ACU44395,A,-,Wisconsin,2009
ACU44406,A,-,Minnesota,2009
ACU46644,A,-,Thailand,2006
ACU46717,A,swine,Guangdong,2002
ACU80014,A,-,New Jersey,1976
ACU82395,A,swine,Sweden,2009
ACV42073,A,swine,Oklahoma,2009
ACV42106,A,swine,Oklahoma,2007
ACV49556,A,-,Melbourne,1946
ACV49600,A,-,Japan,1957
ACV70734,A,-,Wisconsin,2009
ACV90543,A,avian,New York,2007
ACV90903,A,avian,Montana,2006
ACV91043,A,avian,Minnesota,2006
ACX31973,A,avian,Egypt,2009
ACX31981,A,avian,Egypt,2009
ACX31993,A,avian,Egypt,2009
ACX36501,A,-,Singapore,2009
ACX48061,A,swine,Bavaria,2007
ACY06456,A,swine,Fujian,2007
ACY06458,A,swine,Shandong,2007
ACY06459,A,swine,Guangdong,2006
ACY06623,A,swine,Hubei,2009
ACY25797,A,avian,Iran,2007
ACY25801,A,avian,Iran,2007
ACY25803,A,avian,Iran,2007
ACY67022,A,swine,Iowa,2003
ACY80644,A,avian,NV,2006
ACZ05568,A,-,New York,2009
ACZ16520,A,-,Wisconsin,2009
ACZ48510,A,avian,Viet Nam,2001
ACZ48594,A,avian,Pakistan,2004
ACZ48608,A,avian,Italy,1999
ACZ53956,A,swine,Jilin,2007
ACZ53978,A,swine,Jilin,2008
ACZ58384,A,avian,Crimea,2008
ACZ61118,A,-,Parana,2009
ACZ81556,A,-,Thailand,2009
ACZ96889,A,-,Brownsville,2009
ADA83043,A,-,Novgorod,2009
ADB81439,A,-,Russia,2009
ADB82656,A,swine,Thailand,2009
ADB89281,A,-,California,2009
ADC29463,A,avian,Korea,2004
ADC45659,A,-,Hokkaido,2007
ADC45670,A,-,Hyogo,2007
ADC45813,A,-,Kyoto,2009
ADC97015,A,avian,Shandong,2008
ADD10558,A,avian,Eastern China,2008
ADD21428,A,swine,Indonesia,2004
ADD21467,A,swine,Fujian,2008
ADD21560,A,-,Kansas,2009
ADD23162,A,-,San Diego,2009
ADD96936,A,-,San Diego,2009
ADE75148,A,avian,Sweden,2002
ADF58349,A,-,Germany-BY,2009
ADF83497,A,swine,Guangdong,2009
ADF83650,A,-,Vietnam,2008
ADG08198,A,swine,Hong Kong,2009
ADG08308,A,swine,Hong Kong,2009
ADG21416,A,-,Egypt,2009
ADG21437,A,-,Egypt,2010
ADG21441,A,-,Egypt,2010
ADG21445,A,-,Egypt,2010
ADG28681,A,avian,Egypt,2008
ADG28683,A,avian,Egypt,2008
ADG59044,A,swine,Guangdong,2010
ADG59049,A,avian,Shandong,2006
ADG59054,A,avian,Liaoning,2007
ADG59055,A,avian,Guizhou,2008
ADG59060,A,avian,Liaoning,2006
ADG59063,A,avian,Tibet,2006
ADG59064,A,avian,Hunan,2007
ADG59067,A,avian,Xinjiang,2006
ADG59070,A,avian,Xinjiang,2005
ADG59089,A,avian,Shanxi,2006
ADG59090,A,avian,Hunan,2004
ADG85225,A,swine,NC,2010
ADG85233,A,swine,IN,2010
ADG85794,A,swine,Minnesota,2010
ADI34060,A,avian,Karachi,2004
ADI34061,A,avian,Chakwal,2004
ADI46319,A,swine,East Java,2007
ADI46320,A,swine,East Java,2007
ADI52834,A,avian,Ontario,2009
ADI52836,A,avian,Ontario,2009
ADI52837,A,avian,Ontario,2009
ADJ18171,A,-,Iran,2009
ADJ38087,A,swine,Iowa,2010
ADJ41816,A,-,Philippines,1982
ADJ80234,A,swine,Sweden,2010
ADK26592,A,swine,Illinois,2010
ADK48778,A,swine,Italy,2010
ADK56450,A,avian,Guangzhou,2005
ADK89127,A,swine,Heilongjiang,2007
ADL32414,A,-,Madrid,2009
ADL64047,A,avian,Chandigarh,2003
ADM23842,A,-,Alagoas,2010
ADM23846,A,-,Alagoas,2010
ADM23847,A,-,Alagoas,2010
ADM23851,A,-,Bahia,2010
ADM33949,A,avian,Bangladesh,2010
ADM85846,A,avian,Egypt,2010
ADM85857,A,avian,Egypt,2010
ADM85867,A,avian,Egypt,2010
ADM95450,A,avian,Cambodia,2007
ADN89270,A,-,California,2009
ADN92778,A,-,Taiwan,2008
ADO14359,A,-,Belgorod,2009
ADO14466,A,avian,Shandong,2008
ADO29901,A,-,Qingdao,2009
ADO29908,A,-,Qingdao,2010
ADO34927,A,swine,Missouri,2009
ADO65971,A,swine,Argentina,2010
ADP05197,A,avian,Fujian,2007
ADP05204,A,swine,Iowa,2009
ADP05208,A,swine,North Carolina,2009
ADP69273,A,avian,Emirates,2002
ADQ92582,A,avian,Delaware,2007
ADR01746,A,swine,Italy,2010
ADR51661,A,swine,Italy,2002
ADR51662,A,swine,Italy,1999
ADR51668,A,swine,Italy,2009
ADR51669,A,swine,Italy,2008
ADT64317,A,swine,Jangsu,2010
ADT64860,A,avian,Victoria,1981
ADT64868,A,avian,Victoria,1981
ADT78908,A,-,Netherlands,1953
ADT78936,A,-,Netherlands,1951
ADT78961,A,-,Netherlands,1960
ADT79030,A,-,Netherlands,1982
ADT79129,A,-,Nijmegen,1959
ADT79161,A,swine,Italy,1981
ADU25478,A,-,Switzerland,2010
ADU53614,A,avian,Interior Alaska,2008
ADU85891,A,swine,Italy,2009
ADU85893,A,swine,Italy,2009
ADU85894,A,swine,Italy,1998
ADV02479,A,swine,KU,2001
ADV19281,A,swine,Guangdong,2010
ADV58875,A,avian,BC,2005
ADV58876,A,avian,QC,2008
ADV58880,A,swine,QC,2009
ADV69078,A,swine,Minnesota,2009
ADV69079,A,swine,North Carolina,2009
ADV69090,A,swine,Minnesota,2009
ADV69091,A,swine,Indiana,2009
ADV69097,A,swine,Iowa,2010
ADV69106,A,swine,Minnesota,2010
ADW01407,A,-,Jiangsu,2011
ADW10721,A,-,Boston,2009
ADW93789,A,swine,Costa Rica,2010
ADX31845,A,swine,England,2010
ADX31858,A,swine,England,2010
ADX96236,A,swine,Hubei,2009
ADY70986,A,swine,Hong Kong,2001
ADY71223,A,swine,Hong Kong,2003
ADY71438,A,swine,Hong Kong,2006
ADY71526,A,swine,Hong Kong,2007
ADY71612,A,swine,Hong Kong,2008
ADY71787,A,swine,Hong Kong,2009
ADY72576,A,swine,Hong Kong,2005
ADY80044,A,swine,Indiana,2010
ADZ05627,A,-,Lyon-CHU,2003
ADZ05628,A,-,Reunion,2004
AEA29580,A,swine,SK,2009
AEA29582,A,swine,MB,2009
AEA29595,A,swine,QC,2009
AEA48985,A,-,Fuzhou,2010
AEA50985,A,-,Bangladesh,2011
AEA73584,A,-,Boston,2009
AEA92634,A,-,South Dakota,2008
AEB80459,A,swine,Thailand,2010
AEF28999,A,swine,OH,2011
AEF33066,A,swine,Illinois,2010
AEF33067,A,swine,North Carolina,2010
AEG64762,A,-,United Kingdom,1933
AEH42785,A,swine,Hubei,2009
AEH59624,A,-,Nanchang,2009
AEI30055,A,swine,Korea,2008
AEI30056,A,swine,Korea,2009
AEI30057,A,swine,Korea,2009
AEJ10440,A,-,Sydney,2010
AEJ82788,A,-,Taiwan,2011
AEJ82792,A,-,Taiwan,2011
AEJ82796,A,-,Taiwan,2011
AEK49444,A,avian,California,2008
AEK49568,A,avian,California,2008
AEK50870,A,avian,California,2009
AEK79815,A,avian,Viet Nam,2008
AEK85773,A,avian,Henan,2009
AEK86047,A,swine,Guangdong,2010
AEK86048,A,swine,Guangdong,2010
AEL89681,A,-,Bangkok,2010
AEM63475,A,-,Kol,2009
AEM63482,A,-,Blore,2009
AEM63500,A,-,Lur,2010
AEM75239,A,avian,Wisconsin,2009
AEM75431,A,avian,Mississippi,2010
AEM75523,A,avian,Wisconsin,2009
AEN02518,A,avian,Fujian,2011
AEN55513,A,-,Bangkok,2010
AEN68575,A,swine,Italy,2010
AEN68577,A,swine,Italy,2010
AEN68581,A,swine,Italy,2010
AEN68619,A,avian,Israel,2011
AEN68938,A,-,Cambodia,2011
AEN68939,A,avian,Cambodia,2008
AEN94603,A,avian,Lao,2010
AEN94876,A,swine,North Carolina,2005
AEN94886,A,swine,North Carolina,2002
AEN95123,A,-,duck,2001
AEO01499,A,-,England,2009
AEO01598,A,-,England,2009
AEO01612,A,-,England,2009
AEO01709,A,-,Mexico,2008
AEO52326,A,avian,Zhejiang,2011
